Year,X,Y,prcp
2010.0,1.25,-88.75,-0.18634291
2010.0,1.25,-86.25,-0.04367831
2010.0,1.25,-83.75,0.05337859
2010.0,1.25,-81.25,-0.076725505
2010.0,1.25,-78.75,-0.14005345
2010.0,1.25,-76.25,-0.015773144
2010.0,1.25,-73.75,-0.17855272
2010.0,1.25,-71.25,-0.18111141
2010.0,1.25,-68.75,0.13767086
2010.0,1.25,-66.25,-0.2906644
2010.0,1.25,-63.75,-0.24408159
2010.0,1.25,-61.25,-0.32792586
2010.0,1.25,-58.75,-0.50757176
2010.0,1.25,-56.25,-0.8337714
2010.0,1.25,-53.75,-1.0037183
2010.0,1.25,-51.25,-0.9729361
2010.0,1.25,-48.75,-0.87340593
2010.0,1.25,-46.25,-0.8260449
2010.0,1.25,-43.75,-0.6767556
2010.0,1.25,-41.25,-0.39784986
2010.0,1.25,-38.75,-0.2243904
2010.0,1.25,-36.25,-0.14921266
2010.0,1.25,-33.75,-0.15396068
2010.0,1.25,-31.25,-0.13373485
2010.0,1.25,-28.75,-0.13205878
2010.0,1.25,-26.25,-0.15286829
2010.0,1.25,-23.75,-0.1148908
2010.0,1.25,-6.25,-0.307618
2010.0,1.25,-3.75,-0.4502208
2010.0,1.25,-1.25,-0.76049244
2010.0,1.25,1.25,-0.677897
2010.0,1.25,3.75,-0.059426922
2010.0,1.25,6.25,0.51328695
2010.0,1.25,8.75,0.3121671
2010.0,1.25,11.25,0.17829289
2010.0,1.25,13.75,0.31637403
2010.0,1.25,16.25,-0.0034476637
2010.0,1.25,18.75,1.1163259
2010.0,1.25,21.25,1.3738941
2010.0,1.25,23.75,1.1458155
2010.0,1.25,31.25,0.086862095
2010.0,1.25,33.75,0.35817122
2010.0,1.25,36.25,0.48694414
2010.0,1.25,38.75,0.122423366
2010.0,1.25,41.25,-0.14292625
2010.0,1.25,43.75,-0.07269728
2010.0,1.25,46.25,-0.063170195
2010.0,1.25,48.75,-0.08212417
2010.0,1.25,51.25,-0.08177529
2010.0,1.25,53.75,-0.019650934
2010.0,1.25,56.25,-0.31894997
2010.0,1.25,58.75,-0.5915623
2010.0,1.25,61.25,-0.7859863
2010.0,1.25,63.75,-0.7679602
2010.0,1.25,66.25,-0.7824919
2010.0,1.25,68.75,-0.6640676
2010.0,1.25,71.25,-0.53203917
2010.0,1.25,73.75,-0.7158793
2010.0,1.25,76.25,-0.96398544
2010.0,1.25,78.75,-1.1130787
2010.0,1.25,81.25,-1.0026308
2010.0,1.25,83.75,-0.7203069
2010.0,1.25,86.25,-0.5049575
2010.0,1.25,88.75,-0.43136397
2010.0,3.75,-88.75,-0.17501882
2010.0,3.75,-86.25,-0.09829361
2010.0,3.75,-83.75,-0.01865948
2010.0,3.75,-81.25,-0.15150648
2010.0,3.75,-78.75,-0.20193826
2010.0,3.75,-76.25,-0.0657222
2010.0,3.75,-73.75,-0.19889723
2010.0,3.75,-71.25,-0.17633888
2010.0,3.75,-68.75,0.04692829
2010.0,3.75,-66.25,-0.3807097
2010.0,3.75,-63.75,-0.37979844
2010.0,3.75,-61.25,-0.45044592
2010.0,3.75,-58.75,-0.47400734
2010.0,3.75,-56.25,-0.6687177
2010.0,3.75,-53.75,-0.93981165
2010.0,3.75,-51.25,-0.9646664
2010.0,3.75,-48.75,-0.7985608
2010.0,3.75,-46.25,-0.67933464
2010.0,3.75,-43.75,-0.61041915
2010.0,3.75,-41.25,-0.34326878
2010.0,3.75,-38.75,-0.21895537
2010.0,3.75,-36.25,-0.24529138
2010.0,3.75,-33.75,-0.24944326
2010.0,3.75,-31.25,-0.12476159
2010.0,3.75,-28.75,0.018979747
2010.0,3.75,-26.25,-0.02728612
2010.0,3.75,-23.75,-0.03912411
2010.0,3.75,-6.25,-0.27054814
2010.0,3.75,-3.75,-0.4748725
2010.0,3.75,-1.25,-0.6965068
2010.0,3.75,1.25,-0.65417206
2010.0,3.75,3.75,-0.20416342
2010.0,3.75,6.25,0.9274173
2010.0,3.75,8.75,0.51372296
2010.0,3.75,11.25,0.41796952
2010.0,3.75,13.75,0.5374607
2010.0,3.75,16.25,0.3402125
2010.0,3.75,18.75,0.93093073
2010.0,3.75,21.25,1.1241645
2010.0,3.75,33.75,0.011930409
2010.0,3.75,36.25,0.22436728
2010.0,3.75,38.75,0.18258189
2010.0,3.75,41.25,0.100426
2010.0,3.75,43.75,0.06981829
2010.0,3.75,46.25,0.18883964
2010.0,3.75,48.75,-0.06077903
2010.0,3.75,51.25,-0.10986423
2010.0,3.75,53.75,0.0329514
2010.0,3.75,56.25,-0.20724756
2010.0,3.75,58.75,-0.63069344
2010.0,3.75,61.25,-0.7922981
2010.0,3.75,63.75,-0.73315746
2010.0,3.75,66.25,-0.83610135
2010.0,3.75,68.75,-0.700469
2010.0,3.75,71.25,-0.5212523
2010.0,3.75,73.75,-0.6666365
2010.0,3.75,76.25,-0.95392346
2010.0,3.75,78.75,-1.162508
2010.0,3.75,81.25,-1.0200434
2010.0,3.75,83.75,-0.69353706
2010.0,3.75,86.25,-0.49593714
2010.0,3.75,88.75,-0.43106872
2010.0,6.25,-88.75,-0.18423423
2010.0,6.25,-86.25,-0.10366874
2010.0,6.25,-83.75,-0.0773299
2010.0,6.25,-81.25,-0.15830764
2010.0,6.25,-78.75,-0.22132427
2010.0,6.25,-76.25,-0.259575
2010.0,6.25,-73.75,-0.20170607
2010.0,6.25,-71.25,-0.14623402
2010.0,6.25,-68.75,0.043438718
2010.0,6.25,-66.25,-0.48523447
2010.0,6.25,-63.75,-0.48236963
2010.0,6.25,-61.25,-0.5168372
2010.0,6.25,-58.75,-0.44770417
2010.0,6.25,-56.25,-0.5546042
2010.0,6.25,-53.75,-0.83025056
2010.0,6.25,-51.25,-0.84504014
2010.0,6.25,-48.75,-0.7248105
2010.0,6.25,-46.25,-0.61430466
2010.0,6.25,-43.75,-0.50737095
2010.0,6.25,-41.25,-0.2767742
2010.0,6.25,-38.75,-0.23524073
2010.0,6.25,-36.25,-0.27650073
2010.0,6.25,-33.75,-0.20451146
2010.0,6.25,-31.25,-0.01817363
2010.0,6.25,-28.75,0.15385902
2010.0,6.25,-26.25,0.108029366
2010.0,6.25,-8.75,-0.1113781
2010.0,6.25,-6.25,-0.26510733
2010.0,6.25,-3.75,-0.2923505
2010.0,6.25,-1.25,-0.45610204
2010.0,6.25,1.25,-0.48393247
2010.0,6.25,3.75,0.009535032
2010.0,6.25,6.25,0.19163574
2010.0,6.25,8.75,-0.058453504
2010.0,6.25,11.25,0.04711545
2010.0,6.25,13.75,0.50970405
2010.0,6.25,16.25,0.40108562
2010.0,6.25,18.75,0.6599762
2010.0,6.25,33.75,-0.11259888
2010.0,6.25,36.25,0.047869172
2010.0,6.25,38.75,0.16518213
2010.0,6.25,41.25,0.17729613
2010.0,6.25,43.75,0.3126872
2010.0,6.25,46.25,-0.16508447
2010.0,6.25,48.75,0.0060825357
2010.0,6.25,51.25,-0.19913846
2010.0,6.25,53.75,0.0126674725
2010.0,6.25,56.25,-0.033102207
2010.0,6.25,58.75,-0.84373164
2010.0,6.25,61.25,-0.7207005
2010.0,6.25,63.75,-0.6304247
2010.0,6.25,66.25,-0.88623685
2010.0,6.25,68.75,-0.69834995
2010.0,6.25,71.25,-0.48275277
2010.0,6.25,73.75,-0.5806246
2010.0,6.25,76.25,-0.9369792
2010.0,6.25,78.75,-1.2010492
2010.0,6.25,81.25,-1.0536051
2010.0,6.25,83.75,-0.7092548
2010.0,6.25,86.25,-0.48456588
2010.0,6.25,88.75,-0.43086636
2010.0,8.75,-88.75,-0.19495007
2010.0,8.75,-86.25,-0.13147824
2010.0,8.75,-83.75,-0.104497395
2010.0,8.75,-81.25,-0.1448839
2010.0,8.75,-78.75,-0.22348344
2010.0,8.75,-76.25,-0.29659003
2010.0,8.75,-73.75,-0.2241596
2010.0,8.75,-71.25,-0.14956577
2010.0,8.75,-68.75,0.14817211
2010.0,8.75,-66.25,-0.5909792
2010.0,8.75,-63.75,-0.5628704
2010.0,8.75,-61.25,-0.42124316
2010.0,8.75,-58.75,-0.30814517
2010.0,8.75,-56.25,-0.5538751
2010.0,8.75,-53.75,-0.8625998
2010.0,8.75,-51.25,-0.80983806
2010.0,8.75,-48.75,-0.6922193
2010.0,8.75,-46.25,-0.6241865
2010.0,8.75,-43.75,-0.45593098
2010.0,8.75,-41.25,-0.22357592
2010.0,8.75,-38.75,-0.2164001
2010.0,8.75,-36.25,-0.21742204
2010.0,8.75,-33.75,0.001951905
2010.0,8.75,-31.25,0.09981053
2010.0,8.75,-28.75,0.10907361
2010.0,8.75,-26.25,0.01546689
2010.0,8.75,-21.25,-0.02703018
2010.0,8.75,-18.75,-0.2774318
2010.0,8.75,-16.25,-0.22642478
2010.0,8.75,-13.75,-0.121370845
2010.0,8.75,-11.25,-0.08678443
2010.0,8.75,-8.75,-0.21370387
2010.0,8.75,-6.25,-0.13856629
2010.0,8.75,-3.75,-0.17429121
2010.0,8.75,-1.25,0.7059519
2010.0,8.75,1.25,0.39781907
2010.0,8.75,3.75,0.3970838
2010.0,8.75,6.25,0.4281318
2010.0,8.75,8.75,0.62268263
2010.0,8.75,11.25,0.71129555
2010.0,8.75,13.75,0.4598054
2010.0,8.75,16.25,0.3566668
2010.0,8.75,18.75,0.41711482
2010.0,8.75,33.75,-0.11921585
2010.0,8.75,36.25,0.21673572
2010.0,8.75,38.75,0.67662215
2010.0,8.75,41.25,0.74568015
2010.0,8.75,43.75,0.37952605
2010.0,8.75,46.25,0.31789762
2010.0,8.75,48.75,0.04117874
2010.0,8.75,51.25,-0.08505991
2010.0,8.75,53.75,-0.09461705
2010.0,8.75,56.25,-0.24750884
2010.0,8.75,58.75,-0.71700674
2010.0,8.75,61.25,-0.58128035
2010.0,8.75,63.75,-0.5598284
2010.0,8.75,66.25,-0.79015005
2010.0,8.75,68.75,-0.68457603
2010.0,8.75,71.25,-0.4549207
2010.0,8.75,73.75,-0.50060475
2010.0,8.75,76.25,-0.86319005
2010.0,8.75,78.75,-1.1650709
2010.0,8.75,81.25,-1.0556109
2010.0,8.75,83.75,-0.73935556
2010.0,8.75,86.25,-0.47691593
2010.0,8.75,88.75,-0.4303992
2010.0,11.25,-88.75,-0.20334992
2010.0,11.25,-86.25,-0.14461304
2010.0,11.25,-83.75,-0.08693347
2010.0,11.25,-81.25,-0.1352494
2010.0,11.25,-78.75,-0.2343522
2010.0,11.25,-76.25,-0.3342467
2010.0,11.25,-73.75,-0.24264781
2010.0,11.25,-71.25,-0.16555093
2010.0,11.25,-68.75,0.06560429
2010.0,11.25,-66.25,-0.6675039
2010.0,11.25,-63.75,-0.62097913
2010.0,11.25,-61.25,-0.27921355
2010.0,11.25,-58.75,-0.12407368
2010.0,11.25,-56.25,-0.3815878
2010.0,11.25,-53.75,-0.67642915
2010.0,11.25,-51.25,-0.7001229
2010.0,11.25,-48.75,-0.6971522
2010.0,11.25,-46.25,-0.6733088
2010.0,11.25,-43.75,-0.44257176
2010.0,11.25,-41.25,-0.18080463
2010.0,11.25,-38.75,-0.20220616
2010.0,11.25,-36.25,-0.18376899
2010.0,11.25,-33.75,-0.015269473
2010.0,11.25,-31.25,-0.08243795
2010.0,11.25,-28.75,-0.03583567
2010.0,11.25,-26.25,0.043317918
2010.0,11.25,-23.75,0.060629472
2010.0,11.25,-21.25,-0.073432684
2010.0,11.25,-18.75,0.24107333
2010.0,11.25,-16.25,0.13810986
2010.0,11.25,-13.75,0.12082597
2010.0,11.25,-11.25,0.024271287
2010.0,11.25,-8.75,-0.07923932
2010.0,11.25,-6.25,0.30625522
2010.0,11.25,-3.75,0.67586994
2010.0,11.25,-1.25,0.835519
2010.0,11.25,1.25,0.6403027
2010.0,11.25,3.75,0.5052675
2010.0,11.25,6.25,0.5169687
2010.0,11.25,8.75,0.6998812
2010.0,11.25,11.25,0.86204386
2010.0,11.25,13.75,0.5482445
2010.0,11.25,16.25,0.0864754
2010.0,11.25,31.25,-0.37674835
2010.0,11.25,33.75,-0.021171529
2010.0,11.25,36.25,-0.14194293
2010.0,11.25,38.75,0.19061725
2010.0,11.25,41.25,0.33721614
2010.0,11.25,43.75,0.7796881
2010.0,11.25,46.25,0.40033028
2010.0,11.25,48.75,0.0070319227
2010.0,11.25,51.25,0.31600866
2010.0,11.25,53.75,0.21500637
2010.0,11.25,56.25,0.44585636
2010.0,11.25,58.75,-0.4022391
2010.0,11.25,61.25,-0.53142
2010.0,11.25,63.75,-0.48808184
2010.0,11.25,66.25,-0.5896137
2010.0,11.25,68.75,-0.6564933
2010.0,11.25,71.25,-0.45070764
2010.0,11.25,73.75,-0.4227222
2010.0,11.25,76.25,-0.80440736
2010.0,11.25,78.75,-1.0612407
2010.0,11.25,81.25,-0.9477446
2010.0,11.25,83.75,-0.737364
2010.0,11.25,86.25,-0.47174084
2010.0,11.25,88.75,-0.42981163
2010.0,13.75,-88.75,-0.20827039
2010.0,13.75,-86.25,-0.14873838
2010.0,13.75,-83.75,-0.08691999
2010.0,13.75,-81.25,-0.15386717
2010.0,13.75,-78.75,-0.24999972
2010.0,13.75,-76.25,-0.35808894
2010.0,13.75,-73.75,-0.25972423
2010.0,13.75,-71.25,-0.17226158
2010.0,13.75,-68.75,-0.06391214
2010.0,13.75,-66.25,-0.6608927
2010.0,13.75,-63.75,-0.6107674
2010.0,13.75,-61.25,-0.27157867
2010.0,13.75,-58.75,-0.08870473
2010.0,13.75,-56.25,-0.23545331
2010.0,13.75,-53.75,-0.4277466
2010.0,13.75,-51.25,-0.55451554
2010.0,13.75,-48.75,-0.6692125
2010.0,13.75,-46.25,-0.67642456
2010.0,13.75,-43.75,-0.40585116
2010.0,13.75,-41.25,-0.14279664
2010.0,13.75,-38.75,-0.1810533
2010.0,13.75,-36.25,-0.19080642
2010.0,13.75,-33.75,-0.16573179
2010.0,13.75,-31.25,-0.14859524
2010.0,13.75,-28.75,-0.12427431
2010.0,13.75,-26.25,-0.15957914
2010.0,13.75,-23.75,0.6172846
2010.0,13.75,-21.25,0.25414315
2010.0,13.75,-18.75,0.0725185
2010.0,13.75,-16.25,0.077334516
2010.0,13.75,-13.75,0.013447672
2010.0,13.75,-11.25,0.058073953
2010.0,13.75,-8.75,-0.025899207
2010.0,13.75,-6.25,0.0033712324
2010.0,13.75,-3.75,0.010962279
2010.0,13.75,-1.25,0.4569053
2010.0,13.75,1.25,0.3535401
2010.0,13.75,3.75,0.50433207
2010.0,13.75,6.25,0.4526816
2010.0,13.75,8.75,0.042873453
2010.0,13.75,11.25,0.413286
2010.0,13.75,13.75,0.17386542
2010.0,13.75,16.25,-0.08494621
2010.0,13.75,31.25,-0.34147745
2010.0,13.75,33.75,-0.048083015
2010.0,13.75,36.25,0.42502055
2010.0,13.75,38.75,0.8560599
2010.0,13.75,41.25,0.57264537
2010.0,13.75,43.75,0.584712
2010.0,13.75,46.25,0.2194319
2010.0,13.75,48.75,-0.0012161694
2010.0,13.75,51.25,0.6239355
2010.0,13.75,53.75,0.55127513
2010.0,13.75,56.25,-0.13357338
2010.0,13.75,58.75,-0.10138739
2010.0,13.75,61.25,-0.1132834
2010.0,13.75,63.75,-0.10636078
2010.0,13.75,66.25,-0.45096463
2010.0,13.75,68.75,-0.5079629
2010.0,13.75,71.25,-0.4179916
2010.0,13.75,73.75,-0.39608464
2010.0,13.75,76.25,-0.7246113
2010.0,13.75,78.75,-0.24450201
2010.0,13.75,81.25,-0.8688809
2010.0,13.75,83.75,-0.73414326
2010.0,13.75,86.25,-0.46561757
2010.0,13.75,88.75,-0.42993894
2010.0,16.25,-88.75,-0.21404666
